Id,SalePrice
1461,102676.13273226353
1462,142651.32667563157
1463,201812.90808728896
1464,199274.96648941468
1465,186762.5125144394
1466,191417.47678289376
1467,181673.68318762956
1468,182668.13448080514
1469,195240.59930884652
1470,126019.94451395143
1471,202659.47863458702
1472,96848.79337777081
1473,105880.04356670636
1474,163159.2433317094
1475,105926.4609601777
1476,308536.52143163374
1477,253971.39120499277
1478,265001.01649992494
1479,277899.0146454638
1480,381456.9730093237
1481,301030.65249136137
1482,209667.39522969816
1483,202773.90262707695
1484,183671.61351615004
1485,167650.86818365008
1486,210798.98167847516
1487,314126.1741011874
1488,256779.7147954665
1489,200443.5804880252
1490,220255.1689482457
1491,204498.2591847605
1492,80472.01640048437
1493,195355.30740323942
1494,279282.78168418864
1495,277627.3871997129
1496,221743.73639940517
1497,212492.27988088923
1498,165787.7809461765
1499,166327.12977455743
1500,169375.6119151651
1501,189110.93749102345
1502,153478.91873891838
1503,253827.40049863
1504,222266.82848141436
1505,220769.1042794534
1506,220927.1501343595
1507,273206.4473681771
1508,209816.9501138893
1509,172219.52567944676
1510,158963.5164328618
1511,156545.5468680542
1512,186604.68834566837
1513,163726.25409341604
1514,182618.01546468865
1515,253986.73355560238
1516,143363.5157794417
1517,149921.11473672278
1518,186989.09173401352
1519,222975.1637700554
1520,122399.93056459865
1521,129554.70850158669
1522,178665.55984074855
1523,121019.62678979523
1524,101445.56278175698
1525,99993.97028757608
1526,104279.4118947112
1527,114941.72789804125
1528,134816.01933547296
1529,146357.76457019243
1530,184064.83778520208
1531,123928.5509404079
1532,55997.36830717418
1533,163596.6893373388
1534,128926.74934723135
1535,173125.0225329362
1536,108196.01419647317
1537,95354.49774145265
1538,134491.87853701506
1539,176939.56450181967
1540,132280.16385948844
1541,153180.5602337811
1542,166219.69406713778
1543,193849.45687499084
1544,59626.33299840451
1545,85639.305740359
1546,111262.14789751079
1547,118142.8316823889
1548,117211.40546557424
1549,112818.72196218604
1550,136834.92117110314
1551,95006.3870841309
1552,163271.4662020174
1553,120900.23046224285
1554,114491.6400690549
1555,167120.58333435608
1556,83851.11193771055
1557,96728.39171468513
1558,70276.9199645496
1559,108182.66209171829
1560,135061.13908984512
1561,179927.5870425054
1562,125132.65606677439
1563,101358.21950037475
1564,187074.2646189537
1565,153738.71561842784
1566,213426.11770446552
1567,76266.92938389
1568,221042.00208258582
1569,151681.0098414314
1570,113056.1661131035
1571,138781.13110332284
1572,146057.9569072565
1573,235602.34333383897
1574,158540.4699616884
1575,204888.81901493808
1576,249305.40775549924
1577,198314.68529085955
1578,131291.23354582768
1579,158441.00250846008
1580,202418.3915664279
1581,142670.2716533849
1582,125436.032140831
1583,294765.8739460106
1584,238074.39753313316
